Date,Geography,New housing price indexes,Index Value
2018-04,"Saint John, Fredericton, and Moncton, New Brunswick",House only,101.2
2018-04,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0
2018-04,Quebec,Total (house and land),101.9
2018-04,Quebec,House only,102.2
2018-04,Quebec,Land only,100.9
2018-04,"Québec, Quebec",Total (house and land),100.6
2018-04,"Québec, Quebec",House only,100.4
2018-04,"Québec, Quebec",Land only,101.0
2018-04,"Sherbrooke, Quebec",Total (house and land),100.6
2018-04,"Sherbrooke, Quebec",House only,100.3
2018-04,"Sherbrooke, Quebec",Land only,101.9
2018-04,"Trois-Rivières, Quebec",Total (house and land),100.6
2018-04,"Trois-Rivières, Quebec",House only,100.7
2018-04,"Trois-Rivières, Quebec",Land only,100.2
2018-04,"Montréal, Quebec",Total (house and land),102.4
2018-04,"Montréal, Quebec",House only,102.9
2018-04,"Montréal, Quebec",Land only,101.0
2018-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),101.6
2018-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,102.3
2018-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.0
2018-04,Ontario,Total (house and land),104.1
2018-04,Ontario,House only,103.2
2018-04,Ontario,Land only,106.5
2018-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),106.7
2018-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,107.1
2018-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,103.7
2018-04,"Oshawa, Ontario",Total (house and land),104.7
2018-04,"Oshawa, Ontario",House only,103.8
2018-04,"Oshawa, Ontario",Land only,106.0
2018-04,"Toronto, Ontario",Total (house and land),103.2
2018-04,"Toronto, Ontario",House only,101.0
2018-04,"Toronto, Ontario",Land only,107.9
2018-04,"Hamilton, Ontario",Total (house and land),103.4
2018-04,"Hamilton, Ontario",House only,104.7
2018-04,"Hamilton, Ontario",Land only,100.4
2018-04,"St. Catharines-Niagara, Ontario",Total (house and land),105.1
2018-04,"St. Catharines-Niagara, Ontario",House only,105.8
2018-04,"St. Catharines-Niagara, Ontario",Land only,104.0
2018-04,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),103.6
2018-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,102.9
2018-04,"Kitchener-Cambridge-Waterloo, Ontario",Land only,104.2
2018-04,"Guelph, Ontario",Total (house and land),104.7
2018-04,"Guelph, Ontario",House only,104.7
2018-04,"Guelph, Ontario",Land only,104.1
2018-04,"London, Ontario",Total (house and land),109.2
2018-04,"London, Ontario",House only,111.2
2018-04,"London, Ontario",Land only,100.8
2018-04,"Windsor, Ontario",Total (house and land),104.2
2018-04,"Windsor, Ontario",House only,104.1
2018-04,"Windsor, Ontario",Land only,104.8
2018-04,"Greater Sudbury, Ontario",Total (house and land),100.0
2018-04,"Greater Sudbury, Ontario",House only,99.8
2018-04,"Greater Sudbury, Ontario",Land only,100.1
2018-04,Prairie Region,Total (house and land),99.9
2018-04,Prairie Region,House only,99.5
2018-04,Prairie Region,Land only,100.5
2018-04,Manitoba,Total (house and land),103.5
2018-04,Manitoba,House only,104.7
2018-04,Manitoba,Land only,101.0
2018-04,"Winnipeg, Manitoba",Total (house and land),103.5
2018-04,"Winnipeg, Manitoba",House only,104.7
2018-04,"Winnipeg, Manitoba",Land only,101.0
2018-04,Saskatchewan,Total (house and land),98.9
2018-04,Saskatchewan,House only,98.3
2018-04,Saskatchewan,Land only,100.6
2018-04,"Regina, Saskatchewan",Total (house and land),99.9
2018-04,"Regina, Saskatchewan",House only,99.6
2018-04,"Regina, Saskatchewan",Land only,100.7
2018-04,"Saskatoon, Saskatchewan",Total (house and land),98.4
2018-04,"Saskatoon, Saskatchewan",House only,97.5
2018-04,"Saskatoon, Saskatchewan",Land only,100.5
2018-04,Alberta,Total (house and land),99.6
2018-04,Alberta,House only,99.1
2018-04,Alberta,Land only,100.4
2018-04,"Calgary, Alberta",Total (house and land),99.6
2018-04,"Calgary, Alberta",House only,98.9
2018-04,"Calgary, Alberta",Land only,100.6
2018-04,"Edmonton, Alberta",Total (house and land),99.6
2018-04,"Edmonton, Alberta",House only,99.3
2018-04,"Edmonton, Alberta",Land only,100.2
2018-04,British Columbia,Total (house and land),107.9
2018-04,British Columbia,House only,108.9
2018-04,British Columbia,Land only,104.8
2018-04,"Kelowna, British Columbia",Total (house and land),103.4
2018-04,"Kelowna, British Columbia",House only,104.4
2018-04,"Kelowna, British Columbia",Land only,101.2
2018-04,"Vancouver, British Columbia",Total (house and land),108.9
2018-04,"Vancouver, British Columbia",House only,109.9
2018-04,"Vancouver, British Columbia",Land only,105.5
2018-04,"Victoria, British Columbia",Total (house and land),102.8
2018-04,"Victoria, British Columbia",House only,103.5
2018-04,"Victoria, British Columbia",Land only,100.9
2018-05,Canada,Total (house and land),103.1
2018-05,Canada,House only,102.7
2018-05,Canada,Land only,103.8
2018-05,Atlantic Region,Total (house and land),100.4
2018-05,Atlantic Region,House only,100.5
2018-05,Atlantic Region,Land only,100.0
2018-05,Newfoundland and Labrador,Total (house and land),98.9
2018-05,Newfoundland and Labrador,House only,98.6
